objectid,id,length,author,title,date,matchsize,leftcontext,match,rightcontext,GENRE,GENRESIMPLE,RACE,GENDER,Label_2
4763_TEI.txt,4763,693735,"Howells, William Dean",Rise of Silas Lapham,1885,32," do any good."" He went in and shut the door, and by and by his wife heard him begin walking up and down; and then the rest of the night she lay awake and listened to him walking up and down. But when the first light whitened the window, the words of the Scripture came into her mind: ""And there ","wrestled a man with him until the breaking of the day.... And he said, Let me go, for the day breaketh. And he said, I will not let thee go, except thou bless"," me."" She could not ask him anything when they met, but he raised his dull eyes after the first silence, and said, ""I don't know what I'm going to say to Rogers."" She could not speak; she did not know what to say, and she saw her husband when she followed him with her eyes from ",w,w,Caucasian,M,OldTest
4764_TEI.txt,4764,902505,"Howells, William Dean",A Hazard of New Fortunes,1890,11," kind, just people among the rich as there are among the poor, and that they are as generous and helpful. But Lindau has got hold of one of those partial truths that hurt worse than the whole truth, and--"" ""Partial truth!"" the young man interrupted. ""Didn't the Saviour himself say, 'How ",hardly shall they that have riches enter into the kingdom of God,"?'"" ""Why, bless my soul!"" cried March. ""Do you agree with Lindau?"" ""I agree with the Lord Jesus Christ,"" said the young man, solemnly, and a strange light of fanaticism, of exaltation, came into his wide blue eyes. ""And I believe He meant the kingdom of heaven upon this earth, as ",w,w,Caucasian,M,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,28," will- ingness of our Heavenly Father to grant our requests ; then, fourthly, we have to continue patiently waiting on God till the blessing we seek is granted. For observe, nothing is said in the text as to the time in which, or the circumstances under which, the prayer is to be answered. * ","Ask, and it shall be given you.'There is a positive promise, but nothing as to the time. 'Seek, and ye shall find; knock, and it shall be opened unto"," you.'We have, therefore, patiently and quietly to continue waiting on God till the bless- ing is granted. Someone may say, 'Is it necessary I should bring a matter before God, two, three, five or even twenty times ; is it not enough I tell Him once ? 'We might as well say there is no need ",b,b,Black,F,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,14," pulpit. In a few moments Mr. Stanley came out. "" I never thought him handsome before,"" said Meg, to herself, ""but to-night his face is fairly beautiful"" AN ANNOUNCEMENT. 223 Mr. Stanley stood with the open Bible in his hand. "" As it is written in the prophets, ","behold, I send my messenger before thy face, which shall prepare thy way before thee",". The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight. John did baptize in the wilderness, and preach the baptism of repentance for the remis- sion of sins."" Perfect stillness settled over the large congre- gation ; the prayer was short ",b,b,Black,F,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,23," she said at last. ""But there is one thing that I must say to you. If you had the love of God in your heart, you would not feel in this way toward even the meanest of His creatures. You would not take it upon yourself to do what He only has a right to do to judge and condemn. He has said, ","judge not, and ye shall not be judged ; condemn not and ye shall not be condemned ; forgive, and ye shall be forgiven",". If you forgive not oth- ers their trespasses, then God will not forgive your trespasses. We are none of us perfect. There are none that do good no, not one. Maude has done a wicked thing, and she must answer for it one day just as surely as you and I stand here. She may answer for it to you ",b,b,Black,F,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,13," in his turn. He looked so good, so earnest, so noble. Mel- vin, too, how thoroughly happy he appeared. Will looked, as Meg knew he would, grave, almost stern, and very determined. At the conclusion of the sermon, Mr. Stanley raised his right hand toward Heaven. "" ","Lord, it has been done as Thou hast commanded, and yet there is room","."" 226 MEGDA. CHAPTER XVI. EASTER. TOASTER, this year, came .cm the thirteenth of 'April. It was a bright, cool, lovely morning. It seemed as if old Mother Nature had decked her matronly form in her most beautiful robe, in honor of the anniversary of ",b,b,Black,F,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,21," she had said firmly. No one had AN ANNOUNCEMENT. 217 tried to persuade her ; a general feeling seemed to prevail that it was best to leave her and Dell alone. Mr. Stanley's sermon that morning was especially good. He preached from Matthew xxviii: 19 ""Go ye ","therefore, and teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Ghost","."" There were not many dry eyes among the congre- gation. Meg sat and looked at Mr. Stanley. She somehow felt a respect for him that she had never felt for another person, and as she listened to the earnest words that came from his lips, she felt her heart throb and beat with a ",b,b,Black,F,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,55," us with other parts of the Word of God to compare Scripture with Scripture, because in other parts additions are made, or conditions given, which, if we neglect, will hinder our getting the full benefit of prayer. I judge we have not to lose sight of the passage in i John, v : 13-15. '","These things have I written unto you that believe on the name of the Son of God ; that ye may know that ye have eternal life, and that ye may believe on the name of the Son of 116 MEGDA. God. And this is the confidence that we have in Him, that, if we ask"," anything according to His will, He heareth us : And if we know that He heareth us, whatsoever we ask, we know that we have the peti- tions that we desired of Him.'""Here is the first point specially to be noticed regarding prayer, 'If we ask anything according to His will He ",b,b,Black,F,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,15," for the needy ; and all such who ask for Christ's sake are warranted to expect their prayers to be answered. ""A third condition is, that we exercise faith in the power and the willingness of God to answer our prayers. This is deeply important. In Mark, xi : 24, we read, * What ","things soever ye desire, when , ye pray, believe that ye receive them, and ye shall"," have them.''What things soever ye desire'of what- ever kind 'believe that ye receive them and ye shall have them.'I would specially lay this on your heart, that you exercise faith in the power and willingness of God to answer your prayers. We must believe that God is able and willing. To ",b,b,Black,F,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,26," ance.'Go on, therefore, praying; expect an answer, look for it, and in the end you will have to praise God for it. ""There is one point I would especially lay on the hearts of my beloved brethren and sisters, and that is united prayer. In Matthew xviii:i9, the Lord Jesus says, 'If ","two of you shall agree on earth as touching anything that they shall ask, it shall be done for them of My Father which is in heaven",".'If, therefore, there are brethren and sisters in Christ who have unconverted relatives, and if they could unite with two or more persons, and unitedly ask God to convert their children, oh, what a blessing might not come in this way ? They should plead this promise before the Lord, read it ",b,b,Black,F,NewTest
797_TEI.txt,797,461895,"Kelley, Emma Dunham",Megda,1891,17," said Meg, to herself, ""but to-night his face is fairly beautiful"" AN ANNOUNCEMENT. 223 Mr. Stanley stood with the open Bible in his hand. "" As it is written in the prophets, behold, I send my messenger before thy face, which shall prepare thy way before thee. The ","voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight",". John did baptize in the wilderness, and preach the baptism of repentance for the remis- sion of sins."" Perfect stillness settled over the large congre- gation ; the prayer was short but impressive. Then Mr. Stanley descended the steps, and the beautiful voices of the choir rang ",b,b,Black,F,NewTest
